campaign_id,campaign_name,platform_name,channel_group,campaign_objective,budget,actual_spend,start_date,end_date,target_country,target_segment,creative_type,owner_team,agency_name,kpi_goal,status,currency_code,impressions_target,clicks_target,created_at
CMP-001,Google Ads Mar 2024 253,Google Ads,Search,Acquisition,138002.23,106428.21,2024-03-13,2024-04-30,UK,Premium,Video,Performance,AdSpark,Leads,Completed,KWD,1779742,147440,2024-01-01T00:00:00+00:00
CMP-002,Meta Ads Mar 2024 254,Meta Ads,Social,Acquisition,123138.03,98472.26,2024-03-14,2024-05-18,UK,Basic,Search Text,CRM,MediaHub,ROAS,Paused,KWD,2573901,157593,2024-01-01T00:00:00+00:00
CMP-003,TikTok Ads Mar 2024 255,TikTok Ads,Social,Awareness,131091.92,92389.76,2024-03-15,2024-05-23,Kuwait,Premium,Static,CRM,InHouse,ROAS,Paused,GBP,913683,245284,2024-01-01T00:00:00+00:00
CMP-004,LinkedIn Ads Mar 2024 256,LinkedIn Ads,B2B,Lead Generation,97832.41,75131.19,2024-03-16,2024-06-19,UAE,VIP,Search Text,Brand,AdSpark,Revenue,Paused,QAR,2881983,206905,2024-01-01T00:00:00+00:00
CMP-005,Email Nurture Mar 2024 257,Email Nurture,CRM,Retention,57110.08,42212.06,2024-03-17,2024-05-11,Kuwait,VIP,Static,Growth,MediaHub,CAC,Paused,AED,2061429,218693,2024-01-01T00:00:00+00:00
CMP-006,Affiliate Network Mar 2024 258,Affiliate Network,Partner,Acquisition,145478.48,111289.28,2024-03-18,2024-04-11,Qatar,Premium,Video,CRM,InHouse,ROAS,Completed,GBP,1664176,34482,2024-01-01T00:00:00+00:00
CMP-001,Google Ads Mar 2024 259,Google Ads,Search,Acquisition,29355.56,20154.41,2024-03-19,2024-06-25,KSA,Enterprise,Static,CRM,AdSpark,Revenue,Active,EUR,1145397,141527,2024-01-01T00:00:00+00:00
CMP-002,Meta Ads Mar 2024 260,Meta Ads,Social,Acquisition,82745.52,61939.35,2024-03-20,2024-06-24,Qatar,VIP,Carousel,Brand,MediaHub,CAC,Completed,QAR,724336,179590,2024-01-01T00:00:00+00:00
CMP-003,TikTok Ads Mar 2024 261,TikTok Ads,Social,Awareness,22711.58,22568.20,2024-03-21,2024-05-18,KSA,Enterprise,Video,Brand,AdSpark,Leads,Completed,SAR,1891676,18448,2024-01-01T00:00:00+00:00
CMP-004,LinkedIn Ads Mar 2024 262,LinkedIn Ads,B2B,Lead Generation,51726.26,34702.64,2024-03-22,2024-04-12,UAE,VIP,Carousel,Growth,BlueFox,Revenue,Paused,QAR,1139295,124631,2024-01-01T00:00:00+00:00
CMP-005,Email Nurture Mar 2024 263,Email Nurture,CRM,Retention,115173.49,104284.00,2024-03-23,2024-05-05,Qatar,Premium,Carousel,Performance,BlueFox,ROAS,Paused,SAR,1504879,153195,2024-01-01T00:00:00+00:00
CMP-006,Affiliate Network Mar 2024 264,Affiliate Network,Partner,Acquisition,105944.52,110393.44,2024-03-24,2024-05-15,Bahrain,Premium,Carousel,Brand,MediaHub,ROAS,Paused,GBP,2058206,134836,2024-01-01T00:00:00+00:00
CMP-001,Google Ads Mar 2024 265,Google Ads,Search,Acquisition,6482.20,4719.65,2024-03-25,2024-06-15,USA,Enterprise,Video,Growth,MediaHub,CAC,Completed,EGP,1801487,246455,2024-01-01T00:00:00+00:00
CMP-002,Meta Ads Mar 2024 266,Meta Ads,Social,Acquisition,77921.02,66420.74,2024-03-26,2024-04-13,Egypt,Basic,Carousel,CRM,AdSpark,Revenue,Active,AED,1206387,217848,2024-01-01T00:00:00+00:00
CMP-003,TikTok Ads Mar 2024 267,TikTok Ads,Social,Awareness,66349.65,51513.06,2024-03-27,2024-06-20,KSA,VIP,Static,Growth,AdSpark,Leads,Paused,KWD,2781989,56759,2024-01-01T00:00:00+00:00
CMP-004,LinkedIn Ads Mar 2024 268,LinkedIn Ads,B2B,Lead Generation,109882.90,92637.04,2024-03-28,2024-05-22,UAE,Basic,Video,Brand,AdSpark,Revenue,Active,QAR,1181118,228896,2024-01-01T00:00:00+00:00
CMP-005,Email Nurture Mar 2024 269,Email Nurture,CRM,Retention,75491.48,71270.62,2024-03-29,2024-05-30,Bahrain,Enterprise,Static,Performance,InHouse,Leads,Active,GBP,1671169,36796,2024-01-01T00:00:00+00:00
CMP-006,Affiliate Network Mar 2024 270,Affiliate Network,Partner,Acquisition,91480.98,68865.14,2024-03-30,2024-06-27,Kuwait,Enterprise,Carousel,Brand,InHouse,ROAS,Completed,AED,480456,13641,2024-01-01T00:00:00+00:00
CMP-001,Google Ads Mar 2024 271,Google Ads,Search,Acquisition,90145.45,70864.58,2024-03-31,2024-06-21,USA,Basic,Static,Brand,MediaHub,ROAS,Completed,SAR,2276193,156831,2024-01-01T00:00:00+00:00
CMP-002,Meta Ads Apr 2024 272,Meta Ads,Social,Acquisition,100208.53,76780.15,2024-04-01,2024-06-06,UK,Premium,Carousel,Performance,BlueFox,Leads,Completed,BHD,2454603,98179,2024-01-01T00:00:00+00:00
CMP-003,TikTok Ads Apr 2024 273,TikTok Ads,Social,Awareness,27263.09,27653.92,2024-04-02,2024-06-11,Qatar,Enterprise,Carousel,Brand,MediaHub,ROAS,Completed,AED,761410,38606,2024-01-01T00:00:00+00:00
CMP-004,LinkedIn Ads Apr 2024 274,LinkedIn Ads,B2B,Lead Generation,67283.89,59446.85,2024-04-03,2024-04-26,KSA,Premium,Carousel,CRM,AdSpark,ROAS,Paused,AED,1386428,197768,2024-01-01T00:00:00+00:00
CMP-005,Email Nurture Apr 2024 275,Email Nurture,CRM,Retention,80309.89,81623.89,2024-04-04,2024-07-01,UK,VIP,Video,Brand,MediaHub,Revenue,Paused,EGP,2203924,103555,2024-01-01T00:00:00+00:00
CMP-006,Affiliate Network Apr 2024 276,Affiliate Network,Partner,Acquisition,17512.05,12659.29,2024-04-05,2024-06-24,USA,Basic,Static,Brand,AdSpark,ROAS,Active,GBP,2567496,129892,2024-01-01T00:00:00+00:00
CMP-001,Google Ads Apr 2024 277,Google Ads,Search,Acquisition,81738.05,62124.26,2024-04-06,2024-08-04,Qatar,Basic,Video,CRM,InHouse,Revenue,Paused,AED,1563597,83738,2024-01-01T00:00:00+00:00
CMP-002,Meta Ads Apr 2024 278,Meta Ads,Social,Acquisition,84920.55,69642.51,2024-04-07,2024-05-09,Kuwait,Premium,Static,Brand,InHouse,Leads,Completed,AED,1959006,197346,2024-01-01T00:00:00+00:00
CMP-003,TikTok Ads Apr 2024 279,TikTok Ads,Social,Awareness,115782.73,106239.27,2024-04-08,2024-04-23,USA,Premium,Search Text,Growth,InHouse,ROAS,Completed,GBP,2461541,21924,2024-01-01T00:00:00+00:00
CMP-004,LinkedIn Ads Apr 2024 280,LinkedIn Ads,B2B,Lead Generation,38795.73,38526.47,2024-04-09,2024-04-24,Egypt,Enterprise,Carousel,CRM,BlueFox,Leads,Active,GBP,1799256,12078,2024-01-01T00:00:00+00:00
CMP-005,Email Nurture Apr 2024 281,Email Nurture,CRM,Retention,10742.48,9264.83,2024-04-10,2024-07-06,KSA,Basic,Video,Brand,BlueFox,ROAS,Active,QAR,899936,188336,2024-01-01T00:00:00+00:00
CMP-006,Affiliate Network Apr 2024 282,Affiliate Network,Partner,Acquisition,32574.44,22081.29,2024-04-11,2024-06-23,Qatar,Enterprise,Static,Performance,AdSpark,CAC,Paused,SAR,920302,181933,2024-01-01T00:00:00+00:00
CMP-001,Google Ads Apr 2024 283,Google Ads,Search,Acquisition,77429.24,68899.13,2024-04-12,2024-06-09,USA,Premium,Carousel,CRM,InHouse,ROAS,Completed,KWD,2294019,85346,2024-01-01T00:00:00+00:00
CMP-002,Meta Ads Apr 2024 284,Meta Ads,Social,Acquisition,126550.02,104034.33,2024-04-13,2024-08-01,Qatar,VIP,Search Text,CRM,InHouse,Leads,Paused,EUR,1014153,154297,2024-01-01T00:00:00+00:00
CMP-003,TikTok Ads Apr 2024 285,TikTok Ads,Social,Awareness,86078.77,68245.60,2024-04-14,2024-06-29,KSA,Basic,Search Text,Brand,MediaHub,Revenue,Completed,AED,2778343,36133,2024-01-01T00:00:00+00:00
CMP-004,LinkedIn Ads Apr 2024 286,LinkedIn Ads,B2B,Lead Generation,136830.01,114747.66,2024-04-15,2024-07-03,Egypt,Enterprise,Video,CRM,AdSpark,Revenue,Paused,AED,1449130,240629,2024-01-01T00:00:00+00:00
CMP-005,Email Nurture Apr 2024 287,Email Nurture,CRM,Retention,45657.82,39197.06,2024-04-16,2024-05-31,Kuwait,VIP,Carousel,Growth,AdSpark,ROAS,Active,SAR,2624946,183601,2024-01-01T00:00:00+00:00
CMP-006,Affiliate Network Apr 2024 288,Affiliate Network,Partner,Acquisition,143917.15,112159.23,2024-04-17,2024-06-29,USA,VIP,Carousel,Performance,BlueFox,ROAS,Paused,SAR,167174,50521,2024-01-01T00:00:00+00:00
CMP-001,Google Ads Apr 2024 289,Google Ads,Search,Acquisition,84912.04,55234.35,2024-04-18,2024-07-26,Bahrain,Premium,Video,Brand,MediaHub,Revenue,Paused,GBP,1780921,36211,2024-01-01T00:00:00+00:00
CMP-002,Meta Ads Apr 2024 290,Meta Ads,Social,Acquisition,131109.65,99029.59,2024-04-19,2024-07-07,UK,VIP,Search Text,Growth,MediaHub,Leads,Active,AED,2423169,108940,2024-01-01T00:00:00+00:00
CMP-003,TikTok Ads Apr 2024 291,TikTok Ads,Social,Awareness,119998.59,98081.52,2024-04-20,2024-07-16,Kuwait,VIP,Video,CRM,MediaHub,Leads,Completed,BHD,1140878,229371,2024-01-01T00:00:00+00:00
CMP-004,LinkedIn Ads Apr 2024 292,LinkedIn Ads,B2B,Lead Generation,113651.02,89811.81,2024-04-21,2024-06-14,USA,VIP,Search Text,CRM,AdSpark,ROAS,Paused,QAR,834373,6576,2024-01-01T00:00:00+00:00
CMP-005,Email Nurture Apr 2024 293,Email Nurture,CRM,Retention,145239.61,141233.56,2024-04-22,2024-07-27,KSA,Basic,Search Text,Brand,InHouse,CAC,Paused,GBP,2487355,133088,2024-01-01T00:00:00+00:00
CMP-006,Affiliate Network Apr 2024 294,Affiliate Network,Partner,Acquisition,79362.18,53649.02,2024-04-23,2024-08-12,Bahrain,Premium,Search Text,Performance,BlueFox,CAC,Completed,GBP,909464,107090,2024-01-01T00:00:00+00:00
CMP-001,Google Ads Apr 2024 295,Google Ads,Search,Acquisition,114625.18,95116.30,2024-04-24,2024-06-13,UK,Basic,Static,Growth,InHouse,ROAS,Paused,GBP,2160214,217505,2024-01-01T00:00:00+00:00
CMP-002,Meta Ads Apr 2024 296,Meta Ads,Social,Acquisition,131255.45,136207.70,2024-04-25,2024-07-29,Egypt,Premium,Search Text,CRM,BlueFox,Leads,Active,AED,1108765,18778,2024-01-01T00:00:00+00:00
CMP-003,TikTok Ads Apr 2024 297,TikTok Ads,Social,Awareness,127412.59,126768.21,2024-04-26,2024-08-01,USA,Basic,Video,Brand,AdSpark,Revenue,Active,AED,1136300,199695,2024-01-01T00:00:00+00:00
CMP-004,LinkedIn Ads Apr 2024 298,LinkedIn Ads,B2B,Lead Generation,11810.14,7943.96,2024-04-27,2024-06-15,Bahrain,VIP,Video,CRM,MediaHub,Leads,Paused,GBP,2320383,169623,2024-01-01T00:00:00+00:00
CMP-005,Email Nurture Apr 2024 299,Email Nurture,CRM,Retention,10805.59,9110.07,2024-04-28,2024-05-21,UK,Basic,Static,CRM,BlueFox,Revenue,Active,BHD,643437,196142,2024-01-01T00:00:00+00:00
CMP-006,Affiliate Network Apr 2024 300,Affiliate Network,Partner,Acquisition,147478.61,146921.15,2024-04-29,2024-07-01,Kuwait,Premium,Static,CRM,BlueFox,ROAS,Paused,QAR,614621,49633,2024-01-01T00:00:00+00:00
CMP-001,Google Ads Apr 2024 301,Google Ads,Search,Acquisition,4070.34,4000.95,2024-04-30,2024-06-20,USA,Premium,Search Text,Growth,InHouse,ROAS,Active,GBP,1291270,101288,2024-01-01T00:00:00+00:00
CMP-002,Meta Ads May 2024 302,Meta Ads,Social,Acquisition,65879.93,60940.05,2024-05-01,2024-07-21,USA,Basic,Search Text,Growth,MediaHub,Revenue,Paused,EGP,245260,245908,2024-01-01T00:00:00+00:00
CMP-003,TikTok Ads May 2024 303,TikTok Ads,Social,Awareness,117297.33,77735.17,2024-05-02,2024-06-04,Qatar,Premium,Search Text,Performance,MediaHub,ROAS,Completed,KWD,834574,108287,2024-01-01T00:00:00+00:00
CMP-004,LinkedIn Ads May 2024 304,LinkedIn Ads,B2B,Lead Generation,88342.07,57774.88,2024-05-03,2024-07-25,Bahrain,Enterprise,Carousel,Growth,InHouse,ROAS,Paused,GBP,582780,88435,2024-01-01T00:00:00+00:00
CMP-005,Email Nurture May 2024 305,Email Nurture,CRM,Retention,85336.70,55889.54,2024-05-04,2024-08-28,Bahrain,Premium,Search Text,Growth,MediaHub,ROAS,Completed,BHD,730015,43007,2024-01-01T00:00:00+00:00
CMP-006,Affiliate Network May 2024 306,Affiliate Network,Partner,Acquisition,18155.25,15726.34,2024-05-05,2024-05-30,Kuwait,Basic,Search Text,Growth,AdSpark,Revenue,Active,EGP,513108,7540,2024-01-01T00:00:00+00:00
CMP-001,Google Ads May 2024 307,Google Ads,Search,Acquisition,123896.86,96204.10,2024-05-06,2024-08-30,UK,Enterprise,Video,Performance,InHouse,CAC,Completed,SAR,1997936,219689,2024-01-01T00:00:00+00:00
CMP-002,Meta Ads May 2024 308,Meta Ads,Social,Acquisition,69308.65,53544.90,2024-05-07,2024-05-21,Kuwait,Basic,Static,CRM,BlueFox,Leads,Active,EGP,1522239,38807,2024-01-01T00:00:00+00:00
CMP-003,TikTok Ads May 2024 309,TikTok Ads,Social,Awareness,97895.98,64235.30,2024-05-08,2024-06-02,Qatar,Premium,Static,Brand,InHouse,CAC,Completed,AED,2456709,72197,2024-01-01T00:00:00+00:00
CMP-004,LinkedIn Ads May 2024 310,LinkedIn Ads,B2B,Lead Generation,111802.36,92620.55,2024-05-09,2024-07-01,Bahrain,Premium,Search Text,Growth,MediaHub,CAC,Paused,KWD,1334587,25739,2024-01-01T00:00:00+00:00
CMP-005,Email Nurture May 2024 311,Email Nurture,CRM,Retention,138596.49,116161.86,2024-05-10,2024-06-21,KSA,Enterprise,Carousel,Growth,MediaHub,Leads,Paused,KWD,2460925,142570,2024-01-01T00:00:00+00:00
CMP-006,Affiliate Network May 2024 312,Affiliate Network,Partner,Acquisition,18568.12,12344.50,2024-05-11,2024-07-08,KSA,Basic,Video,Brand,InHouse,CAC,Paused,EUR,2959093,75851,2024-01-01T00:00:00+00:00
CMP-001,Google Ads May 2024 313,Google Ads,Search,Acquisition,91784.25,79333.19,2024-05-12,2024-08-27,Kuwait,VIP,Search Text,Performance,AdSpark,CAC,Active,BHD,1601189,16410,2024-01-01T00:00:00+00:00
CMP-002,Meta Ads May 2024 314,Meta Ads,Social,Acquisition,76029.58,57607.13,2024-05-13,2024-05-28,Bahrain,VIP,Video,CRM,AdSpark,ROAS,Completed,SAR,2408668,9527,2024-01-01T00:00:00+00:00
CMP-003,TikTok Ads May 2024 315,TikTok Ads,Social,Awareness,45153.24,44636.16,2024-05-14,2024-07-29,Egypt,Basic,Search Text,Brand,InHouse,ROAS,Paused,GBP,1658521,160365,2024-01-01T00:00:00+00:00
CMP-004,LinkedIn Ads May 2024 316,LinkedIn Ads,B2B,Lead Generation,94548.43,92982.92,2024-05-15,2024-08-30,Qatar,Premium,Carousel,Brand,AdSpark,Leads,Paused,AED,2124640,42345,2024-01-01T00:00:00+00:00
CMP-005,Email Nurture May 2024 317,Email Nurture,CRM,Retention,35152.21,36424.22,2024-05-16,2024-06-14,Kuwait,VIP,Carousel,Performance,MediaHub,CAC,Completed,AED,715366,18280,2024-01-01T00:00:00+00:00
CMP-006,Affiliate Network May 2024 318,Affiliate Network,Partner,Acquisition,31496.68,29630.22,2024-05-17,2024-06-21,Egypt,Basic,Carousel,Brand,InHouse,CAC,Active,AED,265682,6405,2024-01-01T00:00:00+00:00
CMP-001,Google Ads May 2024 319,Google Ads,Search,Acquisition,83184.47,66610.91,2024-05-18,2024-06-03,UK,Enterprise,Search Text,CRM,InHouse,ROAS,Active,SAR,518844,67092,2024-01-01T00:00:00+00:00
CMP-002,Meta Ads May 2024 320,Meta Ads,Social,Acquisition,62116.68,40441.69,2024-05-19,2024-06-17,KSA,Enterprise,Static,CRM,MediaHub,Revenue,Active,BHD,2450968,177489,2024-01-01T00:00:00+00:00
CMP-003,TikTok Ads May 2024 321,TikTok Ads,Social,Awareness,141870.50,124969.16,2024-05-20,2024-08-10,Bahrain,Basic,Search Text,Growth,BlueFox,Leads,Completed,SAR,2306856,112478,2024-01-01T00:00:00+00:00
CMP-004,LinkedIn Ads May 2024 322,LinkedIn Ads,B2B,Lead Generation,149996.29,120807.48,2024-05-21,2024-08-04,UAE,Basic,Video,Brand,MediaHub,CAC,Paused,SAR,415929,190533,2024-01-01T00:00:00+00:00
CMP-005,Email Nurture May 2024 323,Email Nurture,CRM,Retention,38159.14,31605.98,2024-05-22,2024-09-19,KSA,Basic,Carousel,Growth,BlueFox,Leads,Paused,EGP,2414724,211988,2024-01-01T00:00:00+00:00
CMP-006,Affiliate Network May 2024 324,Affiliate Network,Partner,Acquisition,24212.02,15913.80,2024-05-23,2024-07-15,UK,Basic,Video,Brand,MediaHub,Leads,Active,QAR,1741714,108771,2024-01-01T00:00:00+00:00
CMP-001,Google Ads May 2024 325,Google Ads,Search,Acquisition,68078.70,54464.64,2024-05-24,2024-06-10,UK,VIP,Carousel,Performance,AdSpark,Revenue,Active,AED,410516,16351,2024-01-01T00:00:00+00:00
CMP-002,Meta Ads May 2024 326,Meta Ads,Social,Acquisition,22416.33,22472.23,2024-05-25,2024-08-17,UAE,Premium,Video,CRM,MediaHub,CAC,Completed,BHD,2511749,242812,2024-01-01T00:00:00+00:00
CMP-003,TikTok Ads May 2024 327,TikTok Ads,Social,Awareness,44769.92,29120.66,2024-05-26,2024-09-15,Kuwait,Premium,Video,Brand,InHouse,Revenue,Paused,KWD,580187,123570,2024-01-01T00:00:00+00:00
CMP-004,LinkedIn Ads May 2024 328,LinkedIn Ads,B2B,Lead Generation,118870.96,94312.74,2024-05-27,2024-07-09,USA,Enterprise,Carousel,CRM,MediaHub,Leads,Paused,AED,45321,78243,2024-01-01T00:00:00+00:00
CMP-005,Email Nurture May 2024 329,Email Nurture,CRM,Retention,25601.61,17610.85,2024-05-28,2024-06-22,Egypt,VIP,Video,Growth,AdSpark,ROAS,Completed,EGP,2658898,86816,2024-01-01T00:00:00+00:00
CMP-006,Affiliate Network May 2024 330,Affiliate Network,Partner,Acquisition,85540.20,65416.52,2024-05-29,2024-07-26,Kuwait,Basic,Video,Growth,AdSpark,CAC,Active,AED,1119402,112796,2024-01-01T00:00:00+00:00
CMP-001,Google Ads May 2024 331,Google Ads,Search,Acquisition,5482.68,3750.71,2024-05-30,2024-08-04,USA,Premium,Search Text,Growth,InHouse,ROAS,Completed,EGP,850974,237999,2024-01-01T00:00:00+00:00
CMP-002,Meta Ads May 2024 332,Meta Ads,Social,Acquisition,86034.15,89998.78,2024-05-31,2024-06-30,Kuwait,Basic,Carousel,Growth,MediaHub,ROAS,Completed,QAR,2242844,188519,2024-01-01T00:00:00+00:00
CMP-003,TikTok Ads Jun 2024 333,TikTok Ads,Social,Awareness,3706.20,3499.29,2024-06-01,2024-08-01,Kuwait,VIP,Static,Brand,BlueFox,Revenue,Completed,AED,1291198,172728,2024-01-01T00:00:00+00:00
CMP-004,LinkedIn Ads Jun 2024 334,LinkedIn Ads,B2B,Lead Generation,134287.38,139845.23,2024-06-02,2024-07-08,Kuwait,Premium,Carousel,Performance,InHouse,ROAS,Completed,SAR,1406268,63022,2024-01-01T00:00:00+00:00
CMP-005,Email Nurture Jun 2024 335,Email Nurture,CRM,Retention,56160.74,52660.32,2024-06-03,2024-06-17,USA,VIP,Search Text,CRM,BlueFox,CAC,Paused,EUR,358438,129757,2024-01-01T00:00:00+00:00
CMP-006,Affiliate Network Jun 2024 336,Affiliate Network,Partner,Acquisition,81144.19,58040.23,2024-06-04,2024-08-09,Qatar,Basic,Static,Performance,MediaHub,Revenue,Paused,AED,2146527,103756,2024-01-01T00:00:00+00:00
CMP-001,Google Ads Jun 2024 337,Google Ads,Search,Acquisition,106131.67,85432.89,2024-06-05,2024-08-11,Qatar,Enterprise,Static,CRM,BlueFox,ROAS,Completed,BHD,1724504,224425,2024-01-01T00:00:00+00:00
CMP-002,Meta Ads Jun 2024 338,Meta Ads,Social,Acquisition,67415.68,66910.31,2024-06-06,2024-08-28,UK,VIP,Search Text,Performance,InHouse,CAC,Completed,AED,2690629,55445,2024-01-01T00:00:00+00:00
CMP-003,TikTok Ads Jun 2024 339,TikTok Ads,Social,Awareness,4226.62,3445.17,2024-06-07,2024-08-06,KSA,VIP,Search Text,Brand,MediaHub,CAC,Active,KWD,1150327,213780,2024-01-01T00:00:00+00:00
CMP-004,LinkedIn Ads Jun 2024 340,LinkedIn Ads,B2B,Lead Generation,47524.73,36731.65,2024-06-08,2024-07-18,Kuwait,Enterprise,Static,Growth,MediaHub,ROAS,Paused,EUR,1070227,159492,2024-01-01T00:00:00+00:00
CMP-005,Email Nurture Jun 2024 341,Email Nurture,CRM,Retention,113179.07,80974.05,2024-06-09,2024-09-25,UK,Premium,Video,Performance,BlueFox,Leads,Completed,SAR,528939,27496,2024-01-01T00:00:00+00:00
CMP-006,Affiliate Network Jun 2024 342,Affiliate Network,Partner,Acquisition,107118.10,90752.92,2024-06-10,2024-09-17,USA,Basic,Static,Performance,MediaHub,ROAS,Completed,EUR,989377,81405,2024-01-01T00:00:00+00:00
CMP-001,Google Ads Jun 2024 343,Google Ads,Search,Acquisition,51929.75,45942.44,2024-06-11,2024-07-23,UK,Premium,Video,Brand,AdSpark,ROAS,Paused,EUR,1099136,228061,2024-01-01T00:00:00+00:00
CMP-002,Meta Ads Jun 2024 344,Meta Ads,Social,Acquisition,4706.41,4653.21,2024-06-12,2024-10-03,KSA,Basic,Static,Growth,MediaHub,Leads,Paused,GBP,2763608,197542,2024-01-01T00:00:00+00:00
CMP-003,TikTok Ads Jun 2024 345,TikTok Ads,Social,Awareness,14174.74,13331.10,2024-06-13,2024-08-01,USA,Basic,Video,Performance,InHouse,Leads,Completed,EUR,27579,216953,2024-01-01T00:00:00+00:00
CMP-004,LinkedIn Ads Jun 2024 346,LinkedIn Ads,B2B,Lead Generation,75507.35,52114.57,2024-06-14,2024-07-28,Kuwait,Basic,Video,CRM,MediaHub,ROAS,Completed,GBP,450546,156890,2024-01-01T00:00:00+00:00
CMP-005,Email Nurture Jun 2024 347,Email Nurture,CRM,Retention,83512.30,74066.28,2024-06-15,2024-08-25,UAE,Basic,Video,Brand,InHouse,ROAS,Active,QAR,2001639,214199,2024-01-01T00:00:00+00:00
CMP-006,Affiliate Network Jun 2024 348,Affiliate Network,Partner,Acquisition,37623.88,35745.88,2024-06-16,2024-07-14,Bahrain,Basic,Search Text,Performance,InHouse,ROAS,Completed,EUR,662583,200376,2024-01-01T00:00:00+00:00
CMP-001,Google Ads Jun 2024 349,Google Ads,Search,Acquisition,103193.95,92537.69,2024-06-17,2024-08-15,UAE,VIP,Video,Brand,AdSpark,Leads,Paused,AED,2646901,32583,2024-01-01T00:00:00+00:00
CMP-002,Meta Ads Jun 2024 350,Meta Ads,Social,Acquisition,32492.89,26807.28,2024-06-18,2024-07-11,USA,VIP,Static,Growth,InHouse,Revenue,Active,BHD,2201885,196212,2024-01-01T00:00:00+00:00
CMP-003,TikTok Ads Jun 2024 351,TikTok Ads,Social,Awareness,71807.73,69061.50,2024-06-19,2024-07-03,UAE,Premium,Search Text,Growth,AdSpark,ROAS,Paused,AED,2327457,181947,2024-01-01T00:00:00+00:00
CMP-004,LinkedIn Ads Jun 2024 352,LinkedIn Ads,B2B,Lead Generation,18438.09,16524.73,2024-06-20,2024-09-07,Egypt,Premium,Static,Performance,BlueFox,Revenue,Paused,SAR,2255940,52895,2024-01-01T00:00:00+00:00
CMP-005,Email Nurture Jun 2024 353,Email Nurture,CRM,Retention,52149.50,38625.78,2024-06-21,2024-09-05,Bahrain,Enterprise,Video,Growth,MediaHub,Leads,Completed,AED,2835855,190476,2024-01-01T00:00:00+00:00
CMP-006,Affiliate Network Jun 2024 354,Affiliate Network,Partner,Acquisition,83258.06,80240.06,2024-06-22,2024-10-05,Bahrain,Basic,Video,CRM,BlueFox,Leads,Active,EGP,904591,230727,2024-01-01T00:00:00+00:00
CMP-001,Google Ads Jun 2024 355,Google Ads,Search,Acquisition,144673.30,103428.06,2024-06-23,2024-08-26,KSA,Enterprise,Video,Performance,AdSpark,Leads,Paused,QAR,1681055,175687,2024-01-01T00:00:00+00:00
CMP-002,Meta Ads Jun 2024 356,Meta Ads,Social,Acquisition,4948.62,4801.84,2024-06-24,2024-09-06,Qatar,Basic,Search Text,Growth,MediaHub,Leads,Completed,EGP,385149,85372,2024-01-01T00:00:00+00:00
CMP-003,TikTok Ads Jun 2024 357,TikTok Ads,Social,Awareness,110898.38,109289.45,2024-06-25,2024-07-16,UK,Premium,Search Text,Growth,InHouse,Revenue,Active,GBP,838899,96414,2024-01-01T00:00:00+00:00
CMP-004,LinkedIn Ads Jun 2024 358,LinkedIn Ads,B2B,Lead Generation,146925.32,151626.41,2024-06-26,2024-07-15,UK,Premium,Carousel,CRM,InHouse,CAC,Completed,EGP,1220301,143037,2024-01-01T00:00:00+00:00
CMP-005,Email Nurture Jun 2024 359,Email Nurture,CRM,Retention,76501.60,56470.13,2024-06-27,2024-08-17,UAE,VIP,Video,Performance,InHouse,ROAS,Paused,GBP,206506,39629,2024-01-01T00:00:00+00:00
CMP-006,Affiliate Network Jun 2024 360,Affiliate Network,Partner,Acquisition,56508.54,38341.46,2024-06-28,2024-07-24,Bahrain,VIP,Search Text,Brand,AdSpark,CAC,Active,KWD,985899,82227,2024-01-01T00:00:00+00:00
CMP-001,Google Ads Jan 2024 361,Google Ads,Search,Acquisition,15425.85,10046.18,2024-01-01,2024-03-25,UAE,Basic,Carousel,Performance,AdSpark,Leads,Active,BHD,2130490,216026,2024-01-01T00:00:00+00:00
CMP-002,Meta Ads Jan 2024 362,Meta Ads,Social,Acquisition,88610.75,72642.61,2024-01-02,2024-04-28,KSA,VIP,Search Text,CRM,BlueFox,Leads,Completed,SAR,583846,144132,2024-01-01T00:00:00+00:00
CMP-003,TikTok Ads Jan 2024 363,TikTok Ads,Social,Awareness,13301.28,11034.96,2024-01-03,2024-04-24,Bahrain,VIP,Video,CRM,MediaHub,Leads,Completed,BHD,2135210,26811,2024-01-01T00:00:00+00:00
CMP-004,LinkedIn Ads Jan 2024 364,LinkedIn Ads,B2B,Lead Generation,55617.53,39594.44,2024-01-04,2024-03-01,UAE,Enterprise,Static,CRM,AdSpark,ROAS,Active,QAR,1237751,115067,2024-01-01T00:00:00+00:00
CMP-005,Email Nurture Jan 2024 365,Email Nurture,CRM,Retention,111245.57,116397.36,2024-01-05,2024-04-25,UK,Enterprise,Search Text,Performance,MediaHub,ROAS,Paused,SAR,1861965,27672,2024-01-01T00:00:00+00:00
CMP-006,Affiliate Network Jan 2024 366,Affiliate Network,Partner,Acquisition,70182.50,47335.18,2024-01-06,2024-01-23,Bahrain,Basic,Carousel,Performance,BlueFox,Revenue,Completed,GBP,2028107,175215,2024-01-01T00:00:00+00:00
CMP-001,Google Ads Jan 2024 367,Google Ads,Search,Acquisition,11057.81,7619.73,2024-01-07,2024-04-22,Qatar,VIP,Static,Growth,MediaHub,Revenue,Paused,SAR,1275480,132925,2024-01-01T00:00:00+00:00
